date;AA;GE;IBM;MSFT
01/02/1990 0:00;4.98;2.87;16.79;0.51
02/02/1990 0:00;5.04;2.87;16.89;0.51
05/02/1990 0:00;5.07;2.87;17.32;0.51
06/02/1990 0:00;5.01;2.88;17.56;0.51
07/02/1990 0:00;5.04;2.91;17.93;0.51
08/02/1990 0:00;5.04;2.92;17.86;0.51
09/02/1990 0:00;5.06;2.94;17.82;0.52
12/02/1990 0:00;4.96;2.89;17.58;0.52
13/02/1990 0:00;4.91;2.88;17.95;0.52
14/02/1990 0:00;4.94;2.89;18.04;0.52
15/02/1990 0:00;4.99;2.91;18.04;0.53
16/02/1990 0:00;5.1;2.88;17.99;0.53
20/02/1990 0:00;5.04;2.83;17.88;0.55
21/02/1990 0:00;5.01;2.81;18.23;0.52
22/02/1990 0:00;5.06;2.82;17.95;0.53
23/02/1990 0:00;5.07;2.81;17.84;0.53
26/02/1990 0:00;5.13;2.84;18.08;0.54
27/02/1990 0:00;5.16;2.88;18.04;0.53
28/02/1990 0:00;5.22;2.89;18.06;0.54
01/03/1990 0:00;5.26;2.88;18.08;0.55
02/03/1990 0:00;5.41;2.92;18.23;0.57
05/03/1990 0:00;5.39;2.89;18.25;0.57
06/03/1990 0:00;5.4;2.92;18.39;0.57
07/03/1990 0:00;5.36;2.93;18.34;0.56
08/03/1990 0:00;5.34;2.95;18.6;0.58
09/03/1990 0:00;5.33;2.93;18.52;0.58
12/03/1990 0:00;5.34;2.92;18.73;0.59
13/03/1990 0:00;5.29;2.9;18.47;0.58
14/03/1990 0:00;5.28;2.95;18.47;0.59
15/03/1990 0:00;5.36;2.96;18.6;0.61
16/03/1990 0:00;5.44;2.99;18.88;0.62
19/03/1990 0:00;5.53;3.03;18.95;0.64
20/03/1990 0:00;5.46;3.01;18.78;0.62
21/03/1990 0:00;5.41;3.0;18.65;0.62
22/03/1990 0:00;5.34;2.96;18.52;0.61
23/03/1990 0:00;5.33;2.98;18.25;0.6
26/03/1990 0:00;5.32;2.99;18.1;0.61
27/03/1990 0:00;5.35;3.03;18.17;0.61
28/03/1990 0:00;5.41;3.03;18.41;0.61
29/03/1990 0:00;5.36;3.02;18.43;0.6
30/03/1990 0:00;5.26;3.01;18.45;0.6
02/04/1990 0:00;5.18;2.99;18.41;0.61
03/04/1990 0:00;5.17;3.04;18.54;0.63
04/04/1990 0:00;5.13;3.01;18.52;0.64
05/04/1990 0:00;5.15;3.01;18.45;0.62
06/04/1990 0:00;5.04;3.01;18.41;0.62
09/04/1990 0:00;5.06;3.02;18.34;0.62
10/04/1990 0:00;5.11;3.01;18.41;0.64
11/04/1990 0:00;5.2;3.03;18.49;0.66
12/04/1990 0:00;5.25;3.09;18.62;0.66
16/04/1990 0:00;5.27;3.12;19.28;0.66
17/04/1990 0:00;5.26;3.13;19.32;0.68
18/04/1990 0:00;5.21;3.11;19.1;0.66
19/04/1990 0:00;5.15;3.08;18.97;0.65
20/04/1990 0:00;5.1;3.06;19.01;0.65
23/04/1990 0:00;5.04;3.02;19.01;0.64
24/04/1990 0:00;5.07;3.01;18.93;0.63
25/04/1990 0:00;5.1;3.01;19.01;0.63
26/04/1990 0:00;5.12;3.02;18.91;0.63
27/04/1990 0:00;5.14;2.99;18.67;0.61
30/04/1990 0:00;5.07;2.99;18.95;0.63
01/05/1990 0:00;5.07;3.01;18.78;0.62
02/05/1990 0:00;5.09;3.03;18.97;0.64
03/05/1990 0:00;5.11;3.03;18.99;0.64
04/05/1990 0:00;5.11;3.06;19.43;0.67
07/05/1990 0:00;5.19;3.08;19.43;0.7
08/05/1990 0:00;5.23;3.1;19.47;0.68
09/05/1990 0:00;5.19;3.12;19.56;0.68
10/05/1990 0:00;5.19;3.15;19.75;0.7
11/05/1990 0:00;5.25;3.19;20.04;0.71
14/05/1990 0:00;5.27;3.2;20.09;0.72
15/05/1990 0:00;5.31;3.19;20.33;0.71
16/05/1990 0:00;5.28;3.19;20.28;0.71
17/05/1990 0:00;5.35;3.18;20.41;0.71
18/05/1990 0:00;5.37;3.19;20.28;0.74
21/05/1990 0:00;5.44;3.2;20.57;0.77
22/05/1990 0:00;5.51;3.2;20.7;0.78
23/05/1990 0:00;5.44;3.2;20.88;0.83
24/05/1990 0:00;5.32;3.25;20.88;0.83
25/05/1990 0:00;5.31;3.2;20.44;0.81
29/05/1990 0:00;5.35;3.26;21.05;0.82
30/05/1990 0:00;5.35;3.25;21.25;0.82
31/05/1990 0:00;5.39;3.24;21.1;0.8
01/06/1990 0:00;5.46;3.27;21.01;0.82
04/06/1990 0:00;5.58;3.31;21.16;0.83
05/06/1990 0:00;5.57;3.29;21.23;0.8
06/06/1990 0:00;5.55;3.27;21.21;0.8
07/06/1990 0:00;5.5;3.26;21.21;0.79
08/06/1990 0:00;5.48;3.23;20.88;0.8
11/06/1990 0:00;5.5;3.24;21.07;0.82
12/06/1990 0:00;5.51;3.31;21.14;0.83
13/06/1990 0:00;5.49;3.31;21.34;0.83
14/06/1990 0:00;5.46;3.28;21.25;0.82
15/06/1990 0:00;5.39;3.3;21.16;0.83
18/06/1990 0:00;5.33;3.26;20.85;0.82
19/06/1990 0:00;5.31;3.29;20.88;0.82
20/06/1990 0:00;5.39;3.3;20.74;0.85
21/06/1990 0:00;5.39;3.3;20.94;0.84
22/06/1990 0:00;5.32;3.27;20.44;0.83
25/06/1990 0:00;5.29;3.27;20.5;0.81
26/06/1990 0:00;5.22;3.25;20.52;0.82
27/06/1990 0:00;5.22;3.26;20.74;0.83
28/06/1990 0:00;5.21;3.26;20.68;0.83
29/06/1990 0:00;5.21;3.26;20.66;0.83
02/07/1990 0:00;5.23;3.32;20.83;0.8
03/07/1990 0:00;5.29;3.35;20.68;0.79
05/07/1990 0:00;5.24;3.31;20.63;0.79
06/07/1990 0:00;5.44;3.33;20.74;0.8
09/07/1990 0:00;5.47;3.36;20.92;0.81
10/07/1990 0:00;5.39;3.33;20.7;0.8
11/07/1990 0:00;5.53;3.4;20.94;0.82
12/07/1990 0:00;5.58;3.46;21.1;0.85
13/07/1990 0:00;5.62;3.53;21.27;0.86
16/07/1990 0:00;5.66;3.52;21.51;0.86
17/07/1990 0:00;5.55;3.5;21.23;0.85
18/07/1990 0:00;5.51;3.5;21.07;0.83
19/07/1990 0:00;5.54;3.53;21.1;0.84
20/07/1990 0:00;5.41;3.49;20.68;0.8
23/07/1990 0:00;5.39;3.41;20.37;0.79
24/07/1990 0:00;5.53;3.43;20.17;0.76
25/07/1990 0:00;5.65;3.45;20.17;0.78
26/07/1990 0:00;5.64;3.44;19.89;0.75
27/07/1990 0:00;5.59;3.39;19.58;0.75
30/07/1990 0:00;5.75;3.41;19.71;0.74
31/07/1990 0:00;5.74;3.37;19.6;0.73
01/08/1990 0:00;5.64;3.39;19.62;0.73
02/08/1990 0:00;5.56;3.33;19.29;0.72
03/08/1990 0:00;5.41;3.29;19.01;0.69
06/08/1990 0:00;5.15;3.11;18.47;0.66
07/08/1990 0:00;5.21;3.17;18.31;0.67
08/08/1990 0:00;5.27;3.2;18.33;0.69
09/08/1990 0:00;5.31;3.2;18.36;0.71
10/08/1990 0:00;5.23;3.14;18.13;0.7
13/08/1990 0:00;5.28;3.18;18.45;0.71
14/08/1990 0:00;5.32;3.16;18.56;0.7
15/08/1990 0:00;5.35;3.12;18.67;0.7
16/08/1990 0:00;5.25;3.06;18.45;0.67
17/08/1990 0:00;5.21;3.01;18.02;0.66
20/08/1990 0:00;5.18;3.01;18.18;0.61
21/08/1990 0:00;5.11;2.91;17.87;0.59
22/08/1990 0:00;5.05;2.84;17.6;0.59
23/08/1990 0:00;5.02;2.76;17.22;0.56
24/08/1990 0:00;5.06;2.89;17.84;0.62
27/08/1990 0:00;5.13;2.99;18.56;0.66
28/08/1990 0:00;5.13;2.96;18.42;0.69
29/08/1990 0:00;5.2;2.95;18.47;0.66
30/08/1990 0:00;5.25;2.91;18.09;0.65
31/08/1990 0:00;5.32;2.92;18.11;0.67
04/09/1990 0:00;5.39;2.88;18.22;0.68
05/09/1990 0:00;5.52;2.84;18.22;0.64
06/09/1990 0:00;5.48;2.83;18.2;0.63
07/09/1990 0:00;5.52;2.86;18.76;0.63
10/09/1990 0:00;5.54;2.88;18.82;0.61
11/09/1990 0:00;5.47;2.93;19.11;0.61
12/09/1990 0:00;5.64;2.92;19.18;0.63
13/09/1990 0:00;5.56;2.84;18.67;0.63
14/09/1990 0:00;5.51;2.8;18.56;0.65
17/09/1990 0:00;5.58;2.78;18.69;0.66
18/09/1990 0:00;5.63;2.76;19.07;0.67
19/09/1990 0:00;5.77;2.64;19.27;0.68
20/09/1990 0:00;5.65;2.62;19.18;0.65
21/09/1990 0:00;5.58;2.65;18.98;0.66
24/09/1990 0:00;5.27;2.59;18.67;0.64
25/09/1990 0:00;5.2;2.64;18.91;0.66
26/09/1990 0:00;5.19;2.61;18.73;0.66
27/09/1990 0:00;5.16;2.45;18.56;0.65
28/09/1990 0:00;5.18;2.59;18.91;0.69
01/10/1990 0:00;5.25;2.67;19.38;0.73
02/10/1990 0:00;5.2;2.65;19.25;0.72
03/10/1990 0:00;5.18;2.59;19.09;0.72
04/10/1990 0:00;5.16;2.58;19.18;0.7
05/10/1990 0:00;5.12;2.58;19.25;0.71
08/10/1990 0:00;5.11;2.59;19.47;0.72
09/10/1990 0:00;4.94;2.51;18.73;0.69
10/10/1990 0:00;4.67;2.47;18.4;0.65
11/10/1990 0:00;4.5;2.43;17.96;0.63
12/10/1990 0:00;4.42;2.52;17.82;0.62
15/10/1990 0:00;4.36;2.58;17.65;0.62
16/10/1990 0:00;4.29;2.45;17.67;0.6
17/10/1990 0:00;4.35;2.5;17.91;0.62
18/10/1990 0:00;4.46;2.59;18.73;0.67
19/10/1990 0:00;4.49;2.64;19.13;0.68
22/10/1990 0:00;4.54;2.55;19.16;0.7
23/10/1990 0:00;4.54;2.56;18.98;0.7
24/10/1990 0:00;4.6;2.46;19.31;0.71
25/10/1990 0:00;4.6;2.43;19.22;0.71
26/10/1990 0:00;4.56;2.4;19.0;0.69
29/10/1990 0:00;4.53;2.42;18.85;0.68
30/10/1990 0:00;4.44;2.51;18.91;0.7
31/10/1990 0:00;4.42;2.47;18.76;0.7
01/11/1990 0:00;4.43;2.49;19.07;0.69
02/11/1990 0:00;4.52;2.52;19.27;0.71
05/11/1990 0:00;4.5;2.56;19.39;0.72
